id,volumeNumber,year
9047497232005,23,2005
9047497282010,28,2010
9047497362018,36,2018
9047497111993,11,1993
9047497212003,21,2003
9047497372019,37,2019
9047497272009,27,2009
904749761988,6,1988
9047497151997,15,1997
9047497121994,12,1994
904749731985,3,1985
9047497202002,20,2002
904749771989,7,1989
9047497182000,18,2000
904749781990,8,1990
9047497131995,13,1995
904749872014,7,2014
904749892017,9,2017
904749882016,8,2016
9047498102018,10,2018
9047499142018,14,2018
904750052014,5,2014
904750012009,1,2009
9047502372008,37,2008
9047504282017,28,2017
9047504142003,14,2003
9047505152014,15,2014
9047505192018,19,2018
9047505142013,14,2013
9047505122011,12,2011
9047505172016,17,2016
9047505182017,18,2017
904750592008,9,2008
9047505162015,16,2015
9047505132012,13,2012
904750552004,5,2004
9047505112010,11,2010
9047506202012,20,2012
9047507822017,82,2017
90475071022018,102,2018
9047507402008,40,2008
9047507291997,29,1997
9047507992018,99,2018
9047507502014,50,2014
9047507872017,87,2017
9047507392007,39,2007
9047507592015,59,2015
9047507231991,23,1991
9047507452013,45,2013
9047507782016,78,2016
9047507792016,79,2016
9047507582015,58,2015
9047507472014,47,2014
9047507812016,81,2016
9047507261994,26,1994
9047507271995,27,1995
9047507422010,42,2010
9047507902017,90,2017
9047507432011,43,2011
9047507362004,36,2004
9047507301998,30,1998
9047507622015,62,2015
9047507842017,84,2017
9047507852017,85,2017
9047507602015,60,2015
904751022007,2,2007
904751042009,4,2009
904751062013,6,2013
904751072014,7,2014
904751032008,3,2008
904751382015,8,2015
9047514102016,10,2016
904751432009,3,2009
9047514122018,12,2018
904751552015,5,2015
904751622015,2,2015
904751972015,7,2015
9047522112007,11,2007
9047522182014,18,2014
904752252001,5,2001
904752272003,7,2003
9047522132009,13,2009
9047522122008,12,2008
9047522202016,20,2016
9047522212017,21,2017
904752242000,4,2000
9047522192015,19,2015
904752262002,6,2002
9047522142010,14,2010
904752231999,3,1999
9047522102006,10,2006
9047522162012,16,2012
904752312016,1,2016
904752322017,2,2017
904752512002,1,2002
9047524102009,10,2009
9047524182017,18,2017
90475273502019,350,2019
90475273262017,326,2017
90475273202017,320,2017
90475272542013,254,2013
90475272972016,297,2016
90475272332010,233,2010
90475273462019,346,2019
90475272342010,234,2010
90475272352011,235,2011
90475272362012,236,2012
90475273442018,344,2018
90475272922016,292,2016
90475272362011,236,2011
90475273312018,331,2018
90475273022016,302,2016
90475273132017,313,2017
90475273472019,347,2019
90475273302018,330,2018
90475272632014,263,2014
90475273232017,323,2017
90475273332018,333,2018
90475272352010,235,2010
90475272872015,287,2015
90475273352018,335,2018
90475272382013,238,2013
90475272532013,253,2013
90475273432018,343,2018
90475272332009,233,2009
90475272322009,232,2009
90475273342018,334,2018
90475272792015,279,2015
90475272882015,288,2015
90475272602014,260,2014
90475273482019,348,2019
90475272982016,298,2016
90475273372018,337,2018
90475273242017,324,2017
9047528462016,46,2016
9047528222005,22,2005
9047528101993,10,1993
904752881991,8,1991
904752871990,7,1990
9047528282011,28,2011
904752861989,6,1989
904752835-362015,35-36,2015
904752851988,5,1988
9047528432016,43,2016
