Paper,Author
12838,6781169
12839,6768741
12840,6781173
12842,6778412
12844,6778344
12845,6755345
12854,6777549
12856,6781196
12859,6781096
12861,6781199
12863,6781201
12869,6777953
12871,6781214
12874,6781069
12881,6781234
12882,6778886
12883,6777307
12884,6781236
12896,6777921
12899,6781254
12904,6781264
12905,6781268
12908,6779338
12912,6768282
12923,6777409
12947,6777549
12948,6781328
12949,6778261
12951,6761139
12954,6781343
12956,6781348
12959,6779038
12961,6781355
12965,6781365
12969,6781367
12973,6754028
12980,6754928
12982,6781391
12983,6778443
12994,6777563
12996,6781410
12998,6778089
13001,6777366
13022,6781459
13027,6778896
13030,6781468
13032,6779025
13037,6772325
13051,6778026
13055,6761601
13062,6755314
13063,6777402
13065,6764693
13075,6754148
13077,6754364
13085,6778779
13087,6781557
13088,6781558
13089,6779802
13091,6777307
13101,6778466
13105,6781587
13109,6780763
13114,6781604
13116,6780352
13117,6780728
13120,6781609
13127,6777303
13129,6777817
13136,6781633
13140,6781253
13144,6781642
13145,6780192
13147,6755649
13148,6778182
13150,6778200
13153,6754839
13157,6754934
13164,6777688
13165,6777307
13167,6781663
13174,6781679
13180,6778795
13185,6769302
13186,6781701
13187,6767282
13193,6781709
13199,6771088
13200,6781559
13203,6766832
13213,6754273
13224,6781762
13225,6779425
13227,6781771
13239,6777624
13246,6781797
13247,6754148
13249,6779941
13253,6780791
13255,6781812
13257,6781815
13263,6777760
13268,6760215
13272,6781833
13273,6780765
13278,6781840
13281,6781843
13282,6768282
13283,6781604
13286,6755502
13289,6777307
13290,6777307
13293,6777741
13295,6781863
13296,6754781
13297,6781865
13302,6778394
13303,6779599
13304,6777428
13305,6766043
13309,6781880
13311,6781887
13313,6781889
13319,6780207
13338,6781914
13355,6771088
13357,6781940
13359,6781945
13360,6777574
13361,6781947
13364,6777307
13368,6781958
13369,6777780
13372,6781652
13373,6781964
13374,6778818
13376,6777582
13377,6777726
13378,6777307
13379,6777366
13387,6778045
13390,6781984
13392,6777548
13398,6781095
13403,6778584
13407,6782011
13417,6768746
13421,6758019
13425,6754148
13428,6778830
13429,6777430
13431,6777307
13434,6779038
13435,6782044
13438,6778798
13441,6761107
13445,6778669
13446,6782062
13448,6782066
13449,6782067
13463,6782082
13466,6782087
13473,6777307
13475,6782093
13479,6767282
13481,6779517
13482,6753917
13485,6782108
13489,6780031
13496,6754399
13501,6779126
13503,6775703
13509,6779272
13515,6755723
13520,6782146
13521,6782147
13524,6782155
13527,6772393
13530,6782162
13540,6754148
13542,6777366
13550,6777307
13551,6781235
13559,6777473
13561,6782214
13563,6782215
13566,6778098
13574,6782231
13576,6754148
13580,6777366
13581,6782236
13582,6778750
13585,6782245
13586,6778096
13589,6779915
13590,6757586
13592,6777476
13602,6777402
13603,6782266
13607,6778337
13609,6782273
13613,6782276
13616,6782277
13617,6782279
13619,6779242
13621,6782287
13623,6754536
13626,6779515
13628,6782293
13634,6778059
13635,6782303
13637,6782307
13642,6779627
13643,6765838
13647,6780098
13651,6779242
13655,6782326
13663,6782336
13667,6775703
13668,6782348
13670,6782351
13672,6782352
13673,6778390
13675,6782353
13676,6782356
13678,6782358
13686,6770961
13688,6782373
13689,6782378
13696,6782390
13697,6782392
13702,6782406
13707,6782418
13710,6754148
13714,6754589
13719,6779728
13720,6782435
13721,6782437
13731,6780609
13732,6762929
13735,6782455
13737,6782460
13739,6782462
13741,6782465
13746,6777307
13749,6779955
13750,6782470
13751,6780098
13752,6761603
13754,6777307
13760,6782480
13761,6754148
13765,6782490
13767,6778818
13772,6782498
13773,6782499
13776,6781566
13779,6782507
13784,6782513
13787,6782519
13790,6767282
13794,6782536
13796,6782541
13800,6782544
13802,6782546
13805,6782549
13806,6779880
13810,6777363
13811,6782302
13813,6777484
13816,6782562
13818,6782565
13821,6780610
13822,6780015
13827,6779117
13832,6772325
13839,6774068
13841,6782589
13851,6772597
13855,6778013
13856,6782613
13868,6782623
13870,6777575
13871,6782626
13872,6782627
13877,6758019
13900,6762111
13903,6778261
13904,6778509
13905,6779561
13912,6782677
13920,6758953
13923,6777850
13926,6782700
13928,6782703
13931,6782706
13933,6779027
13935,6782214
13944,6779896
13946,6779941
13959,6782731
13960,6777307
13963,6782736
13965,6782738
13976,6782759
13977,6771465
13980,6777422
13989,6782778
13996,6777854
13998,6781548
14002,6777981
14004,6782794
14008,6782800
14009,6782210
14013,6778203
14023,6778263
14024,6782820
14027,6782826
14039,6780026
14043,6771515
14044,6777730
14047,6778795
14048,6782865
14049,6777448
14055,6777373
14056,6778321
14057,6777307
14058,6782871
14060,6782877
14062,6779896
14063,6782883
14068,6780536
14070,6754598
14075,6771186
14080,6777366
14087,6780765
14088,6777472
14098,6777726
14099,6782938
14105,6781154
14111,6780946
14114,6781013
14119,6782959
14128,6782232
14131,6782978
14139,6782991
14140,6782030
14144,6782995
14148,6782060
14150,6783005
14156,6783011
14158,6783013
14162,6783023
14166,6779408
14172,6777307
14175,6783039
14177,6778948
14180,6779243
14181,6778928
14182,6778189
14184,6779038
14190,6777472
14203,6783082
14215,6783097
14216,6783099
14218,6755212
14219,6783106
14220,6777307
14222,6783111
14232,6779714
14237,6779013
14239,6783124
14240,6782358
14242,6777942
14249,6781765
14250,6780536
14252,6783145
14267,6783163
14269,6783168
14270,6760215
14271,6778818
14272,6761881
14273,6777472
14275,6781145
14278,6783173
14279,6779965
14280,6778414
14281,6777619
14283,6778390
14286,6780610
14287,6778257
14292,6783181
14294,6778099
14296,6777307
14299,6757580
14301,6778492
14303,6781253
14305,6758083
14312,6783206
14313,6783207
14317,6762765
14318,6777673
14324,6783216
14326,6779980
14327,6783220
14328,6755354
14329,6783222
14330,6777366
14335,6783232
14336,6783234
14338,6770368
14339,6783238
14344,6777473
14350,6783257
14354,6780529
14355,6783265
14364,6783278
14368,6754688
14371,6783284
14373,6779708
14374,6778675
14375,6777366
14376,6777584
14380,6778847
14382,6780958
14383,6783296
14385,6778189
14387,6783301
14399,6778906
14406,6783328
14411,6777307
14412,6779310
14414,6755721
14419,6755753
14420,6778878
14424,6777307
14430,6780374
14435,6764068
14436,6778762
14443,6781946
14446,6783371
14447,6777307
14448,6781855
14460,6783391
14462,6783394
14465,6777519
14468,6769641
14470,6754148
14471,6779834
14477,6783411
14478,6783412
14480,6783415
14482,6781164
14486,6777303
14490,6783420
14494,6783425
14495,6783426
14499,6783431
14503,6780823
14504,6783436
14507,6770962
14510,6783443
14511,6783446
14515,6783448
14518,6777764
14519,6777551
14524,6778026
14525,6783457
14527,6777809
14529,6770378
14535,6783464
14536,6782019
14545,6757219
14550,6777748
14556,6779248
14563,6777689
14566,6783500
14571,6783514
14579,6783527
14581,6783531
14635,6783625
14708,6783714
14709,6783509
14815,6783775
14833,6783850
14841,6783659
14865,6783888
14875,6783793
14935,6783960
14961,6784028
14968,6780408
14972,6784063
14974,6784069
14977,6773751
